Is Duplicate Row?-2,State Full Name,Is Duplicate Row?,VIN (1-10),County,City,Postal Code,Model Year,Vehicle Age,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Longitude,Latitude,Electric Utility,2020 Census Tract
Unique,Washington,Unique,5YJSA1S15E,King,Kirkland,98034,2014,12,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,180455348,-122.22901,47.72201,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300
Unique,Washington,Unique,5YJSA1DN2D,King,Bellevue,98008,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,141552869,-122.11867,47.63131,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100
Unique,Washington,Unique,WBAJB1C58K,King,Bellevue,98006,2019,7,Bmw,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,41,175328387,-122.12096,47.55584,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007
Unique,Washington,Unique,LYVBR0DL0K,King,Seattle,98116,2019,7,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,34,183515069,-122.41067,47.57894,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009702
Unique,Washington,Unique,LREKK5RX7J,Whatcom,Lynden,98264,2018,8,Cadillac,CT6,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,75095,42,476538870,-122.45079,48.9429,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010303
Unique,Washington,Unique,WP0AH2A77J,Thurston,Lacey,98516,2018,8,Porsche,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,184400,22,275095369,-122.75379,47.06316,PUGET SOUND ENERGY INC,53067012221
Unique,Washington,Unique,5YJSA1DG6D,King,Seattle,98112,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,43,225066159,-122.30716,47.62687,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
Unique,Washington,Unique,LYVBR0DL4K,King,Medina,98039,2019,7,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,48,311505449,-122.23892,47.61613,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024200
Unique,Washington,Unique,LYVBR0DLXK,King,Kirkland,98034,2019,7,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,1,203022592,-122.22901,47.72201,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022205
Unique,Washington,Unique,5YJSA1CN9D,King,Seattle,98105,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46,231596550,-122.31307,47.66127,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033004102
Unique,Washington,Unique,WMZYU7C53K,King,Seattle,98119,2019,7,Mini,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,36,204632221,-122.3684,47.64586,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900
Unique,Washington,Unique,5YJRE11B08,King,Seattle,98103,2008,18,Tesla,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,98950,43,105108503,-122.35436,47.67596,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004901
Unique,Washington,Unique,5YJSA1AG1D,King,Woodinville,98072,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,7917311,-122.15545,47.75448,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326
Unique,Washington,Unique,KNDJP3AE8G,King,Seattle,98144,2016,10,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,37,8641244,-122.30866,47.57874,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400
Unique,Washington,Unique,WP1AE2AY0L,King,Carnation,98014,2020,6,Porsche,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,81100,5,126083002,-121.91353,47.64901,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032500
Unique,Washington,Unique,5YJSA1DG0D,King,Seattle,98199,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,36,223375876,-122.40092,47.65908,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700
Unique,Washington,Unique,YV4BR0DM0J,Pierce,University Place,98467,2018,8,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,28,237668490,-122.53691,47.20606,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072315
Unique,Washington,Unique,5YJSA1DN1D,Skagit,Mount Vernon,98274,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,10,314279514,-122.32267,48.41626,PUGET SOUND ENERGY INC,53057952403
Unique,Washington,Unique,KNDJP3AE8H,King,Sammamish,98075,2017,9,Kia,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,41,348303770,-122.03539,47.61344,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032213
Unique,Washington,Unique,KNDJX3AE7G,Pierce,Lakewood,98498,2016,10,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,28,349757229,-122.54795,47.17997,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053072107
